x	y	showSelected1
2.67577834167409	0	1
2.74115159885179	1	2
2.8998205024271	1	3
3.14457420760962	1.58496250072116	4
3.09551804232315	2.8073549220576	5
2.3654879848909	1	6
2.9795483747041	1	7
2.94398887507377	1.58496250072116	8
3.77988496319264	2.58496250072116	9
3.27852496473702	2	10
3.21218760440396	1.58496250072116	11
3.69556922703619	2.58496250072116	12
2.53019969820308	2	13
2.3654879848909	0	14
3.03019478535675	1	15
1.63346845557959	1	16
2.69108149212297	1	17
3.05804623039528	2	18
2.68214507637383	2	19
2.53147891704226	0	20
2.22271647114758	1	21
3.1981069988734	1.58496250072116	22
2.81690383937566	1	23
2.9804578922761	1.58496250072116	24
1.46239799789896	1	25
3.34478512263266	2.58496250072116	26
3.12221587827283	1	27
2.52374646681156	0	28
2.51454775266029	0	29
3.00732095292274	2.32192809488736	30
2.68930885912362	1	31
3.02530586526477	2	32
2.11058971029925	1	33
3.12613140726198	2	34
2.60314437262018	0	35
2.46089784275655	1	36
2.09691001300806	0	37
2.82672252016899	1	38
2.56937390961505	2	39
2.40312052117582	2	40
2.69983772586725	2	41
1.94939000664491	1	42
1.94448267215017	0	43
2.66651798055488	1	44
2.25767857486918	0	45
2.32633586092875	0	46
2.25527250510331	0	47
2.45788189673399	2	48
2.32428245529769	0	49
2.74350976472843	2.58496250072116	50
2.47129171105894	1.58496250072116	51
2.73639650227664	2.32192809488736	52
2.19312459835446	1	53
2.66558099101795	2	54
2.50105926221775	1	55
2.44404479591808	1	56
2.86153441085904	1	57
2.39619934709574	2	58
3.25527250510331	1.58496250072116	59
3.00432137378264	2	60
2.93145787068901	1	61
2.40140054078154	1.58496250072116	62
2.68930885912362	2	63
2.60097289568675	1	64
3.41279642871654	2.8073549220576	65
2.18752072083646	0	66
3.01325866528352	1.58496250072116	67
2.79309160017658	1.58496250072116	68
2.17318626841227	1.58496250072116	69
2.64640372622307	1	70
2.45178643552429	1.58496250072116	71
2.31806333496276	0	72
2.57287160220048	0	73
3.3600250891894	2	74
2.70329137811866	1.58496250072116	75
2.43616264704076	1	76
2.36361197989214	2	77
2.31175386105575	1.58496250072116	78
2.70070371714502	1	79
2.36735592102602	1	80
2.68033551341456	2	81
1.96378782734556	0	82
2.93500315145366	1.58496250072116	83
1.63346845557959	0	84
2.09691001300806	0	85
2.99738638439731	1	86
1.46239799789896	0	87
2.47275644931721	0	88
2.65513843481138	1	89
2.12057393120585	1.58496250072116	90
1.568201724067	1	91
1.94939000664491	0	92
3.08386080086657	1.58496250072116	93
2.60422605308447	1	94
2.14921911265538	0	95
1.90308998699194	1	96
2.7481880270062	3.32192809488736	97
1.85733249643127	1	98
